epoch,accuracy,loss,val_accuracy,val_loss
0,0.19871795177459717,3.525545358657837,0.2199999988079071,3.1169443130493164
1,0.18589743971824646,2.9673097133636475,0.25,2.6983416080474854
2,0.18589743971824646,2.6855411529541016,0.12999999523162842,2.5746004581451416
3,0.19658119976520538,2.66275691986084,0.17000000178813934,2.7138235569000244
4,0.2222222238779068,2.6891930103302,0.23999999463558197,2.815248489379883
0,0.1897321492433548,2.699479579925537,0.25,2.6345016956329346
1,0.2254464328289032,2.472597122192383,0.125,2.8635494709014893
2,0.2276785671710968,2.291999101638794,0.2291666716337204,2.351999282836914
3,0.2700892984867096,2.2272679805755615,0.21875,2.4125325679779053
4,0.2433035671710968,2.2607228755950928,0.2291666716337204,2.436474561691284
0,0.16317015886306763,2.4990925788879395,0.1195652186870575,2.6266121864318848
1,0.18648017942905426,2.287120819091797,0.15217390656471252,2.344397783279419
2,0.21212121844291687,2.2081449031829834,0.1195652186870575,2.3984134197235107
3,0.18881118297576904,2.2753820419311523,0.15217390656471252,2.265545606613159
4,0.24475523829460144,2.237839460372925,0.09782608598470688,2.519582509994507
0,0.19646799564361572,2.4207992553710938,0.1649484485387802,2.31988263130188
1,0.2229580581188202,2.3459038734436035,0.17525772750377655,2.3198983669281006
2,0.20750552415847778,2.480121612548828,0.2164948433637619,2.5513083934783936
3,0.20529800653457642,2.464858293533325,0.20618556439876556,2.3244709968566895
4,0.2141280323266983,2.3661673069000244,0.1649484485387802,2.732370376586914
0,0.1651376187801361,2.5058577060699463,0.17204301059246063,2.4686195850372314
1,0.19954128563404083,2.446725368499756,0.20430107414722443,2.3669896125793457
2,0.17889907956123352,2.4032082557678223,0.19354838132858276,2.3666927814483643
3,0.21330274641513824,2.3253629207611084,0.25806450843811035,2.2924880981445312
4,0.22477063536643982,2.300041437149048,0.2150537669658661,2.3019158840179443
0,0.16890080273151398,2.4339935779571533,0.23749999701976776,2.2915453910827637
1,0.1957104504108429,2.3950412273406982,0.23749999701976776,2.305014133453369
2,0.20107237994670868,2.362318992614746,0.25,2.2900779247283936
3,0.20643430948257446,2.3527047634124756,0.13750000298023224,2.2883267402648926
4,0.19839142262935638,2.3525850772857666,0.26249998807907104,2.2790400981903076
0,0.18061673641204834,2.315249443054199,0.19587628543376923,2.220898151397705
1,0.1938326060771942,2.3435704708099365,0.06185567006468773,2.8407585620880127
2,0.24229075014591217,2.3341634273529053,0.2164948433637619,2.263784408569336
3,0.22026431560516357,2.279226779937744,0.25773194432258606,2.177332878112793
4,0.21585902571678162,2.2810771465301514,0.24742268025875092,2.2421367168426514
