Epoch	Training Loss	Training Accuracy	Validation Loss	Validation Accuracy
1	1.7830640077590942	0.36577364802360535	2.137460470199585	0.343688040971756
2	1.5850602388381958	0.3805358111858368	1.8998489379882812	0.3635161817073822
3	1.528118371963501	0.42044833302497864	2.184938669204712	0.3073364198207855
4	1.4732544422149658	0.411153644323349	2.1022801399230957	0.24785195291042328
5	1.3405598402023315	0.46910879015922546	2.016115427017212	0.2775941789150238
6	1.2007222175598145	0.5314379334449768	2.004631519317627	0.29411765933036804
7	0.9948704838752747	0.624384880065918	2.058342456817627	0.2346331775188446
8	0.8220968842506409	0.686167299747467	1.975356936454773	0.29940515756607056
9	0.5957149267196655	0.7763805389404297	2.10768461227417	0.2670191526412964
10	0.4669051170349121	0.8217605352401733	2.246175765991211	0.20819564163684845
